kepoi_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg
K00638.02,CONFIRMED,67.0930642,3.51,420.0,7.38,5750.0,4.538
K00639.01,CONFIRMED,17.97979816,2.89,828.0,111.12,6141.0,4.272
K00640.01,CONFIRMED,30.99664113,2.43,500.0,14.72,5324.0,4.544
K00692.01,CONFIRMED,2.462344253,1.33,1326.0,730.86,5736.0,4.467
K00692.02,CONFIRMED,4.822969318,2.22,1060.0,297.73,5736.0,4.467
K00548.02,CANDIDATE,6.0799457,0.86,1101.0,348.11,6008.0,4.35
K00693.01,CONFIRMED,28.7796446,1.95,619.0,34.65,6000.0,4.45
K00693.02,CONFIRMED,15.66057688,2.05,758.0,78.01,6000.0,4.45
K00694.01,CONFIRMED,17.42115972,3.11,674.0,48.91,5679.0,4.487
K00733.03,CONFIRMED,3.13295351,1.39,937.0,181.84,5016.0,4.641
K00733.04,CONFIRMED,18.64349986,2.14,517.0,16.91,5016.0,4.641
K00734.01,CONFIRMED,24.5434566,3.08,616.0,34.07,5955.0,4.52
K00112.01,CONFIRMED,51.07926451,2.75,503.0,15.17,5833.0,4.407
K00734.02,CANDIDATE,70.2780911,2.54,434.0,8.38,5955.0,4.52
K00100.01,CANDIDATE,9.9664004,16.89,1578.0,1466.1,6638.0,3.664
K00641.01,CANDIDATE,14.85185526,2.73,457.0,10.3,4129.0,4.636
K00695.01,CONFIRMED,29.90721859,2.16,564.0,23.92,5739.0,4.476
K07378.02,CANDIDATE,56.391062,3.58,310.0,2.18,4406.0,4.643
K00697.01,CONFIRMED,3.032147946,3.62,1507.0,1218.88,5827.0,4.151
K00108.01,CONFIRMED,15.96532718,3.33,872.0,136.42,5880.0,4.154
K00735.01,CANDIDATE,22.34213536,5.19,526.0,18.14,5237.0,4.568
K00736.01,CONFIRMED,18.79418506,2.33,412.0,6.79,4126.0,4.668
K00736.02,CONFIRMED,6.73893544,1.44,579.0,26.64,4126.0,4.668
K00738.01,CONFIRMED,10.3392408,2.98,777.0,86.46,5730.0,4.545
K00645.01,CONFIRMED,8.50339249,1.95,1021.0,257.22,5877.0,4.233
K00645.02,CANDIDATE,23.7832097,2.01,725.0,65.26,5877.0,4.233
K00647.01,CONFIRMED,5.16949729,2.06,1309.0,694.32,6011.0,4.123
K00648.01,CANDIDATE,10.47490332,15.45,1567.0,1427.2,6526.0,3.616
K00700.01,CONFIRMED,30.86436512,2.23,527.0,18.22,5677.0,4.563
K00700.02,CONFIRMED,9.36059705,1.42,784.0,89.47,5677.0,4.563
K00700.03,CONFIRMED,14.6672293,1.21,675.0,49.12,5677.0,4.563
K00700.04,CONFIRMED,68.1609897,1.45,405.0,6.34,5677.0,4.563
K00738.02,CONFIRMED,13.28689997,2.78,715.0,61.8,5730.0,4.545
K00739.01,CONFIRMED,1.287076693,1.39,871.0,135.97,3736.0,4.724
